idx,batch_idx,sample_idx,step,rmse,nmse
17,2,1,4,0.038823336362838745,0.000340793514624238
17,2,1,5,0.043013446033000946,0.0004183099663350731
17,2,1,6,0.0465654581785202,0.0004902382497675717
17,2,1,7,0.05020439997315407,0.0005698419408872724
17,2,1,8,0.05367376282811165,0.0006513049593195319
17,2,1,9,0.05711625516414642,0.0007375049171969295
17,2,1,10,0.06052394211292267,0.0008280945476144552
17,2,1,11,0.06389717012643814,0.0009229194838553667
17,2,1,12,0.06731367111206055,0.0010241847485303879
17,2,1,13,0.07080230116844177,0.0011330143315717578
17,2,1,14,0.07443602383136749,0.0012522087199613452
17,2,1,15,0.07824186235666275,0.0013834477867931128
17,2,1,16,0.08224198967218399,0.0015284576220437884
17,2,1,17,0.08641843497753143,0.0016876059817150235
17,2,1,18,0.09073387086391449,0.0018603710923343897
17,2,1,19,0.09515158832073212,0.002045990899205208
17,2,1,20,0.09965956956148148,0.0022445297800004482
17,2,1,21,0.10427333414554596,0.0024572559632360935
17,2,1,22,0.10901984572410583,0.0026861426886171103
17,2,1,23,0.11391311138868332,0.002932751551270485
17,2,1,24,0.11893986910581589,0.003197330981492996
18,2,2,0,0.023306645452976227,0.00012276979396119714
18,2,2,1,0.0240091010928154,0.00013027992099523544
18,2,2,2,0.031278278678655624,0.00022110539430286735
18,2,2,3,0.03686190024018288,0.00030708100530318916
18,2,2,4,0.041327379643917084,0.0003859718854073435
18,2,2,5,0.04575401544570923,0.00047306809574365616
18,2,2,6,0.04931250959634781,0.0005495065706782043
18,2,2,7,0.05275699496269226,0.0006289633456617594
18,2,2,8,0.05585748329758644,0.0007051020511426032
18,2,2,9,0.05882054567337036,0.0007819719612598419
18,2,2,10,0.061697810888290405,0.0008604708127677441
18,2,2,11,0.06451424956321716,0.0009409984922967851
18,2,2,12,0.06732185184955597,0.0010249076876789331
18,2,2,13,0.07011483609676361,0.0011119834380224347
18,2,2,14,0.07293575257062912,0.0012035714462399483
18,2,2,15,0.07579366117715836,0.0013000810286030173
18,2,2,16,0.07870214432477951,0.0014021187089383602
18,2,2,17,0.08167222887277603,0.0015102623729035258
18,2,2,18,0.08472739905118942,0.0016256277449429035
18,2,2,19,0.08789137005805969,0.0017494767671450973
18,2,2,20,0.09119486063718796,0.001883511315099895
18,2,2,21,0.09467152506113052,0.0020297656301409006
18,2,2,22,0.09837016463279724,0.0021911945659667253
18,2,2,23,0.1023222878575325,0.002370332833379507
18,2,2,24,0.10652583837509155,0.0025684020947664976
19,2,3,0,0.021392472088336945,0.00010354553523939103
19,2,3,1,0.023395756259560585,0.00012379878899082541
19,2,3,2,0.030884908512234688,0.00021565052156802267
19,2,3,3,0.036427807062864304,0.00029986866866238415
19,2,3,4,0.04093870148062706,0.0003785660373978317
19,2,3,5,0.04533259943127632,0.00046399692655541003
